algo,world_size,hidden_dim,num_layers,model_label,total_params,grad_size_bytes,grad_size_mib,steps,batch_size,bucket_cap_mb,threads,repeat_id,total_training_time_sec,avg_step_time_ms,normalized_total_training_time_sec,normalized_avg_step_time_ms,parameter_max_diff
recursive-doubling-bandwidth,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,16.714,55.712,18.803250,62.676000,0.00000000
swing-latency,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,15.301,51.005,17.213625,57.380625,0.00000178
swing-bandwidth,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,17.342,57.806,19.509750,65.031750,0.00000000
ring,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,33.942,113.139,33.942,113.139,0.00000000
bruck-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,40.306,134.354,40.306,134.354,0.00000136
bruck-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,38.099,126.998,38.099,126.998,0.00000000
trivance-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,38.437,128.124,38.437,128.124,0.00000103
trivance-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,36.684,122.279,36.684,122.279,0.00000000
recursive-doubling-latency,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,32.162,107.206,36.182250,120.606750,0.00000000
recursive-doubling-bandwidth,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,34.455,114.849,38.761875,129.205125,0.00000000
swing-latency,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,32.864,109.547,36.972000,123.240375,0.00000100
swing-bandwidth,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,31.995,106.651,35.994375,119.982375,0.00000000
ring,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,1.237,4.123,1.237,4.123,0.00000000
bruck-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,0.829,2.763,0.829,2.763,0.00000033
bruck-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,1.014,3.381,1.014,3.381,0.00000000
trivance-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,0.823,2.742,0.823,2.742,0.00000033
trivance-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,1.018,3.392,1.018,3.392,0.00000000
recursive-doubling-latency,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,0.728,2.426,0.819000,2.729250,0.00000000
recursive-doubling-bandwidth,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,0.957,3.190,1.076625,3.588750,0.00000000
swing-latency,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,0.730,2.435,0.821250,2.739375,0.00000009
swing-bandwidth,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,0.942,3.141,1.059750,3.533625,0.00000000
ring,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.381,4.603,1.381,4.603,0.00000000
bruck-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,0.959,3.198,0.959,3.198,0.00000034
bruck-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.219,4.065,1.219,4.065,0.00000000
trivance-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,0.941,3.136,0.941,3.136,0.00000022
trivance-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.208,4.026,1.208,4.026,0.00000000
recursive-doubling-latency,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,0.854,2.845,0.960750,3.200625,0.00000000
recursive-doubling-bandwidth,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.065,3.550,1.198125,3.993750,0.00000000
swing-latency,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,0.902,3.006,1.014750,3.381750,0.00000252
swing-bandwidth,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.034,3.446,1.163250,3.876750,0.00000000
ring,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.772,5.906,1.772,5.906,0.00000000
bruck-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.477,4.925,1.477,4.925,0.00000135
bruck-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.534,5.112,1.534,5.112,0.00000000
trivance-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.470,4.901,1.470,4.901,0.00000402
trivance-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.611,5.370,1.611,5.370,0.00000000
recursive-doubling-latency,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.256,4.185,1.413000,4.708125,0.00000000
recursive-doubling-bandwidth,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.403,4.678,1.578375,5.262750,0.00000000
swing-latency,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.390,4.632,1.563750,5.211000,0.00000013
swing-bandwidth,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.501,5.004,1.688625,5.629500,0.00000000
ring,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.801,9.335,2.801,9.335,0.00000000
bruck-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.724,9.079,2.724,9.079,0.00000418
bruck-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.812,9.373,2.812,9.373,0.00000000
trivance-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.721,9.069,2.721,9.069,0.00000208
trivance-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.819,9.397,2.819,9.397,0.00000000
recursive-doubling-latency,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.341,7.802,2.633625,8.777250,0.00000000
recursive-doubling-bandwidth,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.588,8.627,2.911500,9.705375,0.00000000
swing-latency,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.423,8.075,2.725875,9.084375,0.00000214
swing-bandwidth,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.579,8.597,2.901375,9.671625,0.00000000
ring,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,5.128,17.092,5.128,17.092,0.00000000
bruck-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,6.675,22.249,6.675,22.249,0.00000172
bruck-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,5.898,19.661,5.898,19.661,0.00000000
trivance-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,6.554,21.847,6.554,21.847,0.00000241
trivance-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,5.754,19.181,5.754,19.181,0.00000000
recursive-doubling-latency,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,5.268,17.560,5.926500,19.755000,0.00000000
recursive-doubling-bandwidth,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,5.988,19.960,6.736500,22.455000,0.00000000
swing-latency,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,5.512,18.374,6.201000,20.670750,0.00000081
swing-bandwidth,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,5.856,19.519,6.588000,21.958875,0.00000000
ring,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,15.736,52.454,15.736,52.454,0.00000000
bruck-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,18.669,62.229,18.669,62.229,0.00000194
bruck-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,18.332,61.106,18.332,61.106,0.00000000
trivance-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,18.970,63.234,18.970,63.234,0.00000279
trivance-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,18.302,61.008,18.302,61.008,0.00000000
recursive-doubling-latency,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,15.146,50.488,17.039250,56.799000,0.00000000
recursive-doubling-bandwidth,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,16.971,56.571,19.092375,63.642375,0.00000000
swing-latency,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,16.233,54.109,18.262125,60.872625,0.00000178
swing-bandwidth,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,16.373,54.578,18.419625,61.400250,0.00000000
ring,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,32.576,108.587,32.576,108.587,0.00000000
bruck-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,39.774,132.580,39.774,132.580,0.00000136
bruck-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,38.111,127.038,38.111,127.038,0.00000000
trivance-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,40.571,135.237,40.571,135.237,0.00000103
trivance-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,37.511,125.037,37.511,125.037,0.00000000
recursive-doubling-latency,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,30.795,102.649,34.644375,115.480125,0.00000000
recursive-doubling-bandwidth,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,32.784,109.282,36.882000,122.942250,0.00000000
swing-latency,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,30.737,102.456,34.579125,115.263000,0.00000100
swing-bandwidth,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,33.452,111.506,37.633500,125.444250,0.00000000
ring,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,1.233,4.111,1.233,4.111,0.00000000
bruck-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,0.821,2.738,0.821,2.738,0.00000033
bruck-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,1.059,3.530,1.059,3.530,0.00000000
trivance-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,0.790,2.633,0.790,2.633,0.00000033
trivance-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,1.003,3.344,1.003,3.344,0.00000000
recursive-doubling-latency,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,0.723,2.410,0.813375,2.711250,0.00000000
recursive-doubling-bandwidth,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,0.929,3.098,1.045125,3.485250,0.00000000
swing-latency,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,0.673,2.244,0.757125,2.524500,0.00000009
swing-bandwidth,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,0.936,3.118,1.053000,3.507750,0.00000000
