algo,size_label,target_vector_size_bytes,target_params,input_dim,actual_total_params,actual_vector_size_bytes,world_size,steps,batch_size,bucket_cap_mb,repeat_id,hook_calls,total_training_time_sec,avg_step_time_ms,parameter_max_diff,torchrun_status,accepted,log_file
trivance-bandwidth,16MiB,16777216,4194304,4194299,4194304,16777216,3,100,4,64,2,[100; 100; 100],1.671,16.707,0.00000000,0,true,logs_synthetic_vector_size_3gpu/16MiB_trivance_bandwidth_rep2.log
builtin,32B,32,8,3,8,32,3,100,4,64,3,[100; 100; 100],0.330,3.300,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32B_builtin_rep3.log
ring,32B,32,8,3,8,32,3,100,4,64,3,[100; 100; 100],0.938,9.381,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32B_ring_rep3.log
trivance-latency,32B,32,8,3,8,32,3,100,4,64,3,[100; 100; 100],1.518,15.182,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32B_trivance_latency_rep3.log
trivance-bandwidth,32B,32,8,3,8,32,3,100,4,64,3,[100; 100; 100],1.657,16.565,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32B_trivance_bandwidth_rep3.log
builtin,128B,128,32,27,32,128,3,100,4,64,3,[100; 100; 100],0.341,3.410,0.00000000,0,true,logs_synthetic_vector_size_3gpu/128B_builtin_rep3.log
ring,128B,128,32,27,32,128,3,100,4,64,3,[100; 100; 100],0.930,9.301,0.00000000,0,true,logs_synthetic_vector_size_3gpu/128B_ring_rep3.log
trivance-latency,128B,128,32,27,32,128,3,100,4,64,3,[100; 100; 100],1.430,14.300,0.00000001,0,true,logs_synthetic_vector_size_3gpu/128B_trivance_latency_rep3.log
trivance-bandwidth,128B,128,32,27,32,128,3,100,4,64,3,[100; 100; 100],1.680,16.797,0.00000000,0,true,logs_synthetic_vector_size_3gpu/128B_trivance_bandwidth_rep3.log
builtin,512B,512,128,123,128,512,3,100,4,64,3,[100; 100; 100],0.315,3.153,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512B_builtin_rep3.log
ring,512B,512,128,123,128,512,3,100,4,64,3,[100; 100; 100],0.889,8.893,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512B_ring_rep3.log
trivance-latency,512B,512,128,123,128,512,3,100,4,64,3,[100; 100; 100],1.392,13.924,0.00000001,0,true,logs_synthetic_vector_size_3gpu/512B_trivance_latency_rep3.log
trivance-bandwidth,512B,512,128,123,128,512,3,100,4,64,3,[100; 100; 100],1.678,16.785,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512B_trivance_bandwidth_rep3.log
builtin,2KiB,2048,512,507,512,2048,3,100,4,64,3,[100; 100; 100],0.286,2.862,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2KiB_builtin_rep3.log
ring,2KiB,2048,512,507,512,2048,3,100,4,64,3,[100; 100; 100],0.927,9.271,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2KiB_ring_rep3.log
trivance-latency,2KiB,2048,512,507,512,2048,3,100,4,64,3,[100; 100; 100],1.434,14.343,0.00000003,0,true,logs_synthetic_vector_size_3gpu/2KiB_trivance_latency_rep3.log
trivance-bandwidth,2KiB,2048,512,507,512,2048,3,100,4,64,3,[100; 100; 100],1.838,18.380,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2KiB_trivance_bandwidth_rep3.log
builtin,8KiB,8192,2048,2043,2048,8192,3,100,4,64,3,[100; 100; 100],0.313,3.128,0.00000000,0,true,logs_synthetic_vector_size_3gpu/8KiB_builtin_rep3.log
ring,8KiB,8192,2048,2043,2048,8192,3,100,4,64,3,[100; 100; 100],0.892,8.919,0.00000000,0,true,logs_synthetic_vector_size_3gpu/8KiB_ring_rep3.log
trivance-latency,8KiB,8192,2048,2043,2048,8192,3,100,4,64,3,[100; 100; 100],1.497,14.966,0.00000001,0,true,logs_synthetic_vector_size_3gpu/8KiB_trivance_latency_rep3.log
trivance-bandwidth,8KiB,8192,2048,2043,2048,8192,3,100,4,64,3,[100; 100; 100],1.616,16.159,0.00000000,0,true,logs_synthetic_vector_size_3gpu/8KiB_trivance_bandwidth_rep3.log
builtin,32KiB,32768,8192,8187,8192,32768,3,100,4,64,3,[100; 100; 100],0.350,3.504,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32KiB_builtin_rep3.log
ring,32KiB,32768,8192,8187,8192,32768,3,100,4,64,3,[100; 100; 100],0.991,9.909,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32KiB_ring_rep3.log
trivance-latency,32KiB,32768,8192,8187,8192,32768,3,100,4,64,3,[100; 100; 100],1.405,14.045,0.00000001,0,true,logs_synthetic_vector_size_3gpu/32KiB_trivance_latency_rep3.log
trivance-bandwidth,32KiB,32768,8192,8187,8192,32768,3,100,4,64,3,[100; 100; 100],1.642,16.417,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32KiB_trivance_bandwidth_rep3.log
builtin,128KiB,131072,32768,32763,32768,131072,3,100,4,64,3,[100; 100; 100],0.325,3.251,0.00000000,0,true,logs_synthetic_vector_size_3gpu/128KiB_builtin_rep3.log
ring,128KiB,131072,32768,32763,32768,131072,3,100,4,64,3,[100; 100; 100],0.944,9.442,0.00000000,0,true,logs_synthetic_vector_size_3gpu/128KiB_ring_rep3.log
trivance-latency,128KiB,131072,32768,32763,32768,131072,3,100,4,64,3,[100; 100; 100],1.476,14.758,0.00000001,0,true,logs_synthetic_vector_size_3gpu/128KiB_trivance_latency_rep3.log
trivance-bandwidth,128KiB,131072,32768,32763,32768,131072,3,100,4,64,3,[100; 100; 100],1.637,16.374,0.00000000,0,true,logs_synthetic_vector_size_3gpu/128KiB_trivance_bandwidth_rep3.log
builtin,512KiB,524288,131072,131067,131072,524288,3,100,4,64,3,[100; 100; 100],0.303,3.034,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512KiB_builtin_rep3.log
ring,512KiB,524288,131072,131067,131072,524288,3,100,4,64,3,[100; 100; 100],0.944,9.435,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512KiB_ring_rep3.log
trivance-latency,512KiB,524288,131072,131067,131072,524288,3,100,4,64,3,[100; 100; 100],1.498,14.977,0.00000002,0,true,logs_synthetic_vector_size_3gpu/512KiB_trivance_latency_rep3.log
trivance-bandwidth,512KiB,524288,131072,131067,131072,524288,3,100,4,64,3,[100; 100; 100],1.647,16.468,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512KiB_trivance_bandwidth_rep3.log
builtin,2MiB,2097152,524288,524283,524288,2097152,3,100,4,64,3,[100; 100; 100],0.363,3.627,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2MiB_builtin_rep3.log
ring,2MiB,2097152,524288,524283,524288,2097152,3,100,4,64,3,[100; 100; 100],0.956,9.564,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2MiB_ring_rep3.log
trivance-latency,2MiB,2097152,524288,524283,524288,2097152,3,100,4,64,3,[100; 100; 100],1.483,14.829,0.00000075,0,true,logs_synthetic_vector_size_3gpu/2MiB_trivance_latency_rep3.log
trivance-bandwidth,2MiB,2097152,524288,524283,524288,2097152,3,100,4,64,3,[100; 100; 100],1.665,16.649,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2MiB_trivance_bandwidth_rep3.log
builtin,8MiB,8388608,2097152,2097147,2097152,8388608,3,100,4,64,3,[100; 100; 100],0.328,3.284,0.00000000,0,true,logs_synthetic_vector_size_3gpu/8MiB_builtin_rep3.log
ring,8MiB,8388608,2097152,2097147,2097152,8388608,3,100,4,64,3,[100; 100; 100],0.970,9.701,0.00000000,0,true,logs_synthetic_vector_size_3gpu/8MiB_ring_rep3.log
trivance-latency,8MiB,8388608,2097152,2097147,2097152,8388608,3,100,4,64,3,[100; 100; 100],1.553,15.535,0.00000136,0,true,logs_synthetic_vector_size_3gpu/8MiB_trivance_latency_rep3.log
trivance-bandwidth,8MiB,8388608,2097152,2097147,2097152,8388608,3,100,4,64,3,[100; 100; 100],1.700,17.005,0.00000000,0,true,logs_synthetic_vector_size_3gpu/8MiB_trivance_bandwidth_rep3.log
builtin,16MiB,16777216,4194304,4194299,4194304,16777216,3,100,4,64,3,[100; 100; 100],0.368,3.677,0.00000000,0,true,logs_synthetic_vector_size_3gpu/16MiB_builtin_rep3.log
ring,16MiB,16777216,4194304,4194299,4194304,16777216,3,100,4,64,3,[100; 100; 100],1.009,10.095,0.00000000,0,true,logs_synthetic_vector_size_3gpu/16MiB_ring_rep3.log
trivance-latency,16MiB,16777216,4194304,4194299,4194304,16777216,3,100,4,64,3,[100; 100; 100],1.514,15.144,0.00002524,0,true,logs_synthetic_vector_size_3gpu/16MiB_trivance_latency_rep3.log
trivance-bandwidth,16MiB,16777216,4194304,4194299,4194304,16777216,3,100,4,64,3,[100; 100; 100],1.697,16.967,0.00000000,0,true,logs_synthetic_vector_size_3gpu/16MiB_trivance_bandwidth_rep3.log
