algo,world_size,hidden_dim,num_layers,model_label,total_params,grad_size_bytes,grad_size_mib,steps,batch_size,bucket_cap_mb,threads,repeat_id,total_training_time_sec,avg_step_time_ms,parameter_max_diff
bruck-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,19.232,64.106,0.00000000
trivance-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,19.103,63.676,0.00000279
trivance-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,18.650,62.167,0.00000000
builtin,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,26.190,87.299,0.00000000
ring,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,34.145,113.815,0.00000000
recursive-doubling-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,37.697,125.658,0.00000000
recursive-doubling-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,38.067,126.890,0.00000000
swing-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,35.933,119.776,0.00000095
swing-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,40.690,135.633,0.00000000
bruck-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,39.839,132.796,0.00000136
bruck-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,38.641,128.803,0.00000000
trivance-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,39.711,132.369,0.00000103
trivance-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,36.644,122.147,0.00000000
builtin,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,1.184,3.947,0.00000000
ring,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,1.280,4.267,0.00000000
recursive-doubling-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,0.785,2.617,0.00000000
recursive-doubling-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,1.021,3.403,0.00000000
swing-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,0.752,2.506,0.00000006
swing-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,1.019,3.398,0.00000000
bruck-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,0.839,2.795,0.00000033
bruck-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,1.049,3.498,0.00000000
trivance-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,0.817,2.722,0.00000033
trivance-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,1.024,3.413,0.00000000
builtin,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.282,4.274,0.00000000
ring,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.370,4.566,0.00000000
recursive-doubling-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,0.926,3.087,0.00000000
recursive-doubling-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.177,3.925,0.00000000
swing-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,0.933,3.111,0.00000017
swing-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.211,4.037,0.00000000
bruck-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,0.972,3.239,0.00000034
bruck-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.228,4.094,0.00000000
trivance-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,0.969,3.231,0.00000022
trivance-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.202,4.006,0.00000000
builtin,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.540,5.133,0.00000000
ring,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.661,5.537,0.00000000
recursive-doubling-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.399,4.664,0.00000000
recursive-doubling-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.631,5.436,0.00000000
swing-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.386,4.620,0.00000006
swing-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.681,5.603,0.00000000
bruck-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.499,4.998,0.00000135
bruck-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.581,5.271,0.00000000
